"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 02:40:30 UTC 2024","Thu Feb 08 02:40:37 UTC 2024","6408","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Thu Feb 08 03:18:51 UTC 2024","Thu Feb 08 03:19:06 UTC 2024","14944","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Thu Feb 08 04:29:37 UTC 2024","Thu Feb 08 04:29:44 UTC 2024","7764","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Thu Feb 08 03:02:29 UTC 2024","Thu Feb 08 03:02:33 UTC 2024","3435","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Feb 08 03:21:09 UTC 2024","Thu Feb 08 03:21:10 UTC 2024","1021","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Thu Feb 08 03:33:27 UTC 2024","Thu Feb 08 03:33:42 UTC 2024","15087","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Thu Feb 08 04:29:33 UTC 2024","Thu Feb 08 04:29:36 UTC 2024","2994","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Thu Feb 08 03:02:09 UTC 2024","Thu Feb 08 03:02:29 UTC 2024","19903","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Thu Feb 08 02:42:20 UTC 2024","Thu Feb 08 02:42:33 UTC 2024","13260","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Thu Feb 08 02:29:16 UTC 2024","Thu Feb 08 02:29:32 UTC 2024","16147","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Feb 08 03:44:34 UTC 2024","Thu Feb 08 03:44:44 UTC 2024","9862","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Thu Feb 08 03:19:08 UTC 2024","Thu Feb 08 03:19:28 UTC 2024","20057","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"failed","Thu Feb 08 04:01:46 UTC 2024","Thu Feb 08 04:04:55 UTC 2024","188658","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Thu Feb 08 03:33:25 UTC 2024","Thu Feb 08 03:33:27 UTC 2024","2303","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Thu Feb 08 03:01:36 UTC 2024","Thu Feb 08 03:01:40 UTC 2024","4054","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Feb 08 03:47:07 UTC 2024","Thu Feb 08 03:47:08 UTC 2024","916","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Thu Feb 08 03:59:28 UTC 2024","Thu Feb 08 03:59:53 UTC 2024","25040","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Thu Feb 08 03:21:15 UTC 2024","Thu Feb 08 03:21:17 UTC 2024","1602","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Thu Feb 08 03:46:33 UTC 2024","Thu Feb 08 03:46:48 UTC 2024","14247","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Thu Feb 08 02:57:08 UTC 2024","Thu Feb 08 02:57:14 UTC 2024","6087","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Feb 08 03:04:33 UTC 2024","Thu Feb 08 03:04:45 UTC 2024","11284","","6. Company Account","","","","4. Complete Build Your Portfolio",""
